,APO,,DATA,,,Global,Critical Data,Data documentation,Data governance,Data privacy,Data quality,Datalake Integration,Reference data,,,,,,,,,,,,,,,
,,Last Released Assessment,DATA,null,Score,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment,DATA,null,Level,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment -1,DATA,null,Score,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment -1,DATA,null,Level,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,DATA,null,Percentage,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,DATA,null,Percentage,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,APO,Unknown - ???,DELIVERY,,,Global,Accelerate,Application Configuration Management,Chaos Engineering,Continous Integration,Continuous Deployment,Database Control,Documentation,Service Availability,Workflows,,,,,,,,,,,,,
,,Last Released Assessment,DELIVERY,2022-12-31,Score,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Last Released Assessment,DELIVERY,2022-12-31,Level,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Last Released Assessment -1,DELIVERY,null,Score,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Last Released Assessment -1,DELIVERY,null,Level,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,DELIVERY,null,Percentage,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,DELIVERY,null,Percentage,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,APO,,DESIGN,,,Global,Design,Design for all,Documentation,Libraries & plugins,Prototype,Tools,Workflow,,,,,,,,,,,,,,,
,,Last Released Assessment,DESIGN,null,Score,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment,DESIGN,null,Level,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment -1,DESIGN,null,Score,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment -1,DESIGN,null,Level,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,DESIGN,null,Percentage,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,DESIGN,null,Percentage,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,APO,Unknown - ???,DEV,,,Global,API,Analytics,Architecture Decision Record,Authentication,BFF,Business & strategy,Code Management,Data Factory,Data Management,Delivery,Design System,Documentation,Model Management,Observability,Performance,Reliability,Software Design,Source Control,System Design Documents,Team,Tech Radar,Versionning
,,Last Released Assessment,DEV,2022-12-31,Score,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
